[i] dataset decdd0a5
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           181.87 |      false |         0 |                0.00 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            93.01 |      false |         0 |                0.00 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            96.09 |      false |         0 |                0.00 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           128.86 |      false |         0 |                0.00 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           211.11 |      false |         0 |                0.00 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           308.47 |      false |         0 |                0.00 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           260.88 |      false |         0 |                0.00 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |            89.21 |      false |         0 |                0.00 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           291.97 |      false |         0 |                0.00 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           300.65 |      false |         0 |                0.00 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           295.92 |      false |         0 |                0.00 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           278.48 |      false |         0 |                0.00 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           302.52 |      false |         0 |                0.00 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           304.47 |      false |         0 |                0.00 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           304.78 |      false |         0 |                0.00 |
|       fontes18/xor5_r1 |      5 |       1 |            12 |             6 |                        8 |                        4 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           205.36 |      false |         0 |                0.00 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           218.19 |      false |         0 |                0.00 |
|       fontes18/cm82a_5 |      5 |       3 |            20 |             5 |                       16 |                        5 |                  12 |                   5 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           306.81 |      false |         0 |                0.00 |
|       fontes18/xor5Maj |      5 |       1 |            30 |            12 |                        4 |                        3 |                   4 |                   3 |                       0 |                        0 |                      0 |     0 |     0 |             0 |          0 |           191.87 |      false |         0 |                0.00 |
