[i] dataset decdd0a5
|              benchmark | inputs | outputs | initial nodes | initial depth | nodes after optimization | depth after optimization | nodes after mapping | depth after mapping | layout width (in tiles) | layout height (in tiles) | layout area (in tiles) | gates | wires | critical path | throughput | runtime (in sec) | equivalent | SiDB dots |  layout area in nm² |
|       trindade16/mux21 |      3 |       1 |             3 |             2 |                        3 |                        2 |                   4 |                   3 |                       3 |                        7 |                     21 |     4 |     8 |             7 |          1 |             0.29 |       true |       179 |             5533.14 |
|        trindade16/xor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.03 |       true |        59 |              979.55 |
|       trindade16/xnor2 |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.03 |       true |        63 |              979.55 |
|     trindade16/par_gen |      3 |       1 |             6 |             4 |                        4 |                        3 |                   2 |                   2 |                       2 |                        4 |                      8 |     2 |     4 |             4 |          1 |             0.04 |       true |        98 |             1956.15 |
|          trindade16/HA |      2 |       2 |             4 |             2 |                        4 |                        2 |                   2 |                   1 |                       3 |                       10 |                     30 |     2 |    17 |            10 |          1 |             0.71 |       true |       277 |             7924.58 |
|          trindade16/FA |      3 |       2 |             5 |             3 |                        5 |                        3 |                   5 |                   3 |                       3 |                       18 |                     54 |     5 |    31 |            14 |          3 |             2.69 |       true |       515 |            11392.75 |
|   trindade16/par_check |      4 |       1 |             9 |             4 |                        7 |                        3 |                   6 |                   4 |                       5 |                        7 |                     35 |     6 |     8 |             7 |          1 |             0.88 |       true |       229 |             6577.13 |
|           fontes18/xor |      2 |       1 |             3 |             2 |                        3 |                        2 |                   1 |                   1 |                       2 |                        3 |                      6 |     1 |     3 |             3 |          1 |             0.02 |       true |        59 |              979.55 |
| fontes18/1bitAdderAOIG |      3 |       2 |             7 |             4 |                        6 |                        4 |                   5 |                   3 |                       3 |                       18 |                     54 |     5 |    37 |            18 |          4 |             3.43 |       true |       595 |            14661.55 |
|             fontes18/t |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       4 |                       10 |                     40 |     6 |    23 |            10 |          2 |             1.37 |       true |       424 |             9768.67 |
|           fontes18/t_5 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       4 |                       10 |                     40 |     6 |    24 |            10 |          2 |             1.70 |       true |       436 |            10416.59 |
|           fontes18/c17 |      5 |       2 |             6 |             3 |                        6 |                        3 |                   6 |                   3 |                       3 |                       13 |                     39 |     6 |    27 |            13 |          3 |             1.09 |       true |       466 |            10316.02 |
|      fontes18/majority |      5 |       1 |             8 |             5 |                        8 |                        5 |                  11 |                   5 |                       3 |                       21 |                     63 |    11 |    35 |            18 |          5 |             5.00 |       true |       665 |            14301.76 |
| fontes18/majority_5_r1 |      5 |       1 |             8 |             4 |                        8 |                        6 |                  10 |                   6 |                       3 |                       24 |                     72 |    10 |    57 |            22 |          6 |             6.67 |       true |       925 |            17490.35 |
|        fontes18/newtag |      8 |       1 |             9 |             5 |                        9 |                        6 |                  11 |                   6 |                       3 |                       21 |                     63 |    11 |    35 |            19 |          5 |             4.86 |       true |       665 |            15098.90 |
|       fontes18/xor5_r1 |      5 |       1 |            12 |             6 |                        8 |                        4 |                   4 |                   3 |                       2 |                       12 |                     24 |     4 |    10 |             8 |          2 |             0.45 |       true |       210 |             3941.50 |
|  fontes18/1bitAdderMaj |      3 |       1 |            14 |             9 |                        4 |                        3 |                   5 |                   3 |                       3 |                       12 |                     36 |     5 |    19 |             9 |          2 |             0.94 |       true |       340 |             7127.43 |
|       fontes18/cm82a_5 |      5 |       3 |            20 |             5 |                       16 |                        5 |                  12 |                   5 |                       4 |                       30 |                    120 |    12 |   101 |            29 |          5 |          1815.69 |       true |      1579 |            31776.18 |
|       fontes18/xor5Maj |      5 |       1 |            30 |            12 |                        4 |                        3 |                   4 |                   3 |                       2 |                       12 |                     24 |     4 |    14 |            12 |          2 |             0.35 |       true |       257 |             5926.85 |
